month,year,trips,transport_type,load_timestamp
"Jan","2026","318","Al Quo","2026-02-27 02:23:27"
"Jan","2026","83","Sun Ri","2026-02-27 02:23:27"
"Jan","2026","38","Falcon","2026-02-27 02:23:27"
"Jan","2026","94","Sheikh","2026-02-27 02:23:27"
"Jan","2026","64","Habtoo","2026-02-27 02:23:27"
"Jan","2026","39","Ramoul","2026-02-27 02:23:27"
"Jan","2026","520","Islami","2026-02-27 02:23:27"
"Jan","2026","82","Can Pa","2026-02-27 02:23:27"
"Jan","2026","574","Satwa,","2026-02-27 02:23:27"
"Jan","2026","121","Russia","2026-02-27 02:23:27"
"Jan","2026","20129","Al Jaf","2026-02-27 02:23:27"
"Jan","2026","104","Queen ","2026-02-27 02:23:27"
"Jan","2026","490","Oud Me","2026-02-27 02:23:27"
"Jan","2026","2","Nakhee","2026-02-27 02:23:27"
"Jan","2026","135","Satwa,","2026-02-27 02:23:27"
"Jan","2026","27","Schlum","2026-02-27 02:23:27"
"Jan","2026","105","Caltex","2026-02-27 02:23:27"
"Jan","2026","171","Jebel ","2026-02-27 02:23:27"
"Jan","2026","118","Safa, ","2026-02-27 02:23:27"
"Jan","2026","18","Safa, ","2026-02-27 02:23:27"
"Jan","2026","268","Silico","2026-02-27 02:23:27"
"Jan","2026","10","Sadaa ","2026-02-27 02:23:27"
"Jan","2026","65","Sheikh","2026-02-27 02:23:27"
"Jan","2026","161","Umm Hu","2026-02-27 02:23:27"
"Jan","2026","1570","Al Qus","2026-02-27 02:23:27"
"Jan","2026","51185","Union ","2026-02-27 02:23:27"
"Jan","2026","386","The Gr","2026-02-27 02:23:27"
"Jan","2026","25261","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","698","Centur","2026-02-27 02:23:27"
"Jan","2026","249","Mina A","2026-02-27 02:23:27"
"Jan","2026","118","Ras Al","2026-02-27 02:23:27"
"Jan","2026","7520","EXPO M","2026-02-27 02:23:27"
"Jan","2026","213","Ras Al","2026-02-27 02:23:27"
"Jan","2026","40","Traffi","2026-02-27 02:23:27"
"Jan","2026","1041","Burj N","2026-02-27 02:23:27"
"Jan","2026","736","XL Tow","2026-02-27 02:23:27"
"Jan","2026","106","Imam A","2026-02-27 02:23:27"
"Jan","2026","2885","Satwa,","2026-02-27 02:23:27"
"Jan","2026","2791","Dubai ","2026-02-27 02:23:27"
"Jan","2026","22693","Mashre","2026-02-27 02:23:27"
"Jan","2026","649","Tippin","2026-02-27 02:23:27"
"Jan","2026","228","Al Quo","2026-02-27 02:23:27"
"Jan","2026","78","Qumais","2026-02-27 02:23:27"
"Jan","2026","20851","Dubai ","2026-02-27 02:23:27"
"Jan","2026","7433","Al Fur","2026-02-27 02:23:27"
"Jan","2026","1216","Oasis ","2026-02-27 02:23:27"
"Jan","2026","788","Al Quo","2026-02-27 02:23:27"
"Jan","2026","477","Dubai ","2026-02-27 02:23:27"
"Jan","2026","684","Capita","2026-02-27 02:23:27"
"Jan","2026","198","Al Bar","2026-02-27 02:23:27"
"Jan","2026","5","Al Mak","2026-02-27 02:23:27"
"Jan","2026","448","Emirat","2026-02-27 02:23:27"
"Jan","2026","41","Land m","2026-02-27 02:23:27"
"Jan","2026","1400","The Gr","2026-02-27 02:23:27"
"Jan","2026","60","Dwight","2026-02-27 02:23:27"
"Jan","2026","347","Al Quo","2026-02-27 02:23:27"
"Jan","2026","1079","Burj N","2026-02-27 02:23:27"
"Jan","2026","3729","Khawan","2026-02-27 02:23:27"
"Jan","2026","24","The Sp","2026-02-27 02:23:27"
"Jan","2026","2989","Busine","2026-02-27 02:23:27"
"Jan","2026","1169","Al Nah","2026-02-27 02:23:27"
"Jan","2026","36","The Me","2026-02-27 02:23:27"
"Jan","2026","15","Solico","2026-02-27 02:23:27"
"Jan","2026","58","Majid ","2026-02-27 02:23:27"
"Jan","2026","199","Al Mak","2026-02-27 02:23:27"
"Jan","2026","458","Al Qus","2026-02-27 02:23:27"
"Jan","2026","30990","Dubai ","2026-02-27 02:23:27"
"Jan","2026","84","Mizhar","2026-02-27 02:23:27"
"Jan","2026","36","Al Qus","2026-02-27 02:23:27"
"Jan","2026","39","Corro ","2026-02-27 02:23:27"
"Jan","2026","6","Clayto","2026-02-27 02:23:27"
"Jan","2026","86","Al War","2026-02-27 02:23:27"
"Jan","2026","27","Can Pa","2026-02-27 02:23:27"
"Jan","2026","23","Manama","2026-02-27 02:23:27"
"Jan","2026","113","Arjan,","2026-02-27 02:23:27"
"Jan","2026","6424","Dubai ","2026-02-27 02:23:27"
"Jan","2026","32","Al Was","2026-02-27 02:23:27"
"Jan","2026","342","Sharja","2026-02-27 02:23:27"
"Jan","2026","84","Al Qus","2026-02-27 02:23:27"
"Jan","2026","209","Emirat","2026-02-27 02:23:27"
"Jan","2026","79","Petron","2026-02-27 02:23:27"
"Jan","2026","1161","Ras Al","2026-02-27 02:23:27"
